iter	Logloss
0	0.6929000288
1	0.6926680103
2	0.6923626164
3	0.692075613
4	0.6918005719
5	0.6914996407
6	0.6912565959
7	0.6909880131
8	0.6906866778
9	0.6904153217
10	0.6901296307
11	0.6898304462
12	0.6896132115
13	0.6894187723
14	0.689121258
15	0.6888338181
16	0.6885364679
17	0.688332032
18	0.6880664753
19	0.687787741
20	0.6875164579
21	0.6872719721
22	0.6870529547
23	0.6868722086
24	0.6865992681
25	0.6863237458
26	0.686030764
27	0.6857537465
28	0.6854770692
29	0.6852889002
30	0.6849875926
31	0.684684919
32	0.6843968927
33	0.6841426183
34	0.6838547598
35	0.683583686
36	0.6832851822
37	0.6830122058
38	0.6827975322
39	0.6825459305
40	0.6822763756
41	0.6820255874
42	0.6817501761
43	0.6814804498
44	0.6812124908
45	0.6809574643
46	0.6806789526
47	0.6804152678
48	0.6801317726
49	0.6798492518
50	0.6795844259
51	0.6793378415
52	0.6790725348
53	0.6788161313
54	0.6785503146
55	0.6782883435
56	0.6781066962
57	0.6778965918
58	0.6776436793
59	0.6773794099
60	0.6770938432
61	0.6768304235
62	0.6765536057
63	0.6763642777
64	0.6760937578
65	0.6758477736
66	0.6755868012
67	0.6753125655
68	0.675057206
69	0.6748151319
70	0.6746004989
71	0.6743223579
72	0.6740521796
73	0.6737816022
74	0.6735252403
75	0.6733205617
76	0.6730782799
77	0.672802641
78	0.6725341146
79	0.6723190402
80	0.6720519984
81	0.6717865467
82	0.6715309756
83	0.6712827857
84	0.6710334166
85	0.6708018796
86	0.6706045515
87	0.6703642357
88	0.6701018108
89	0.6698656182
90	0.6695916332
91	0.6693288707
92	0.6690776377
93	0.6688184592
94	0.6685760445
95	0.6683056511
96	0.6680672209
97	0.6678189834
98	0.6675878086
99	0.667318028
100	0.6672197846
101	0.6669785095
102	0.6667279496
103	0.6664591985
104	0.6662058804
105	0.6659586064
106	0.6656918522
107	0.6654261212
108	0.665179093
109	0.664947893
110	0.6647114938
111	0.6644865786
112	0.6642496246
113	0.663995612
114	0.6637679048
115	0.6635148091
116	0.6632555258
117	0.6630520806
118	0.6628334427
119	0.6625854185
120	0.6623369638
121	0.6621145051
122	0.6618785028
123	0.6616448463
124	0.6614281546
125	0.6612362078
126	0.6610215467
127	0.6607849374
128	0.6605578344
129	0.6603226446
130	0.6600656615
131	0.6598326657
132	0.6596046481
133	0.6594373929
134	0.6591993129
135	0.6590021464
136	0.65875635
137	0.6585676682
138	0.6583128803
139	0.6580940681
140	0.6578407097
141	0.6575961294
142	0.6573789616
143	0.6571256085
144	0.6568983944
145	0.6566589377
146	0.6564435366
147	0.6562243081
148	0.6560305118
149	0.6557925387
150	0.6555805708
151	0.6553433914
152	0.6551201769
153	0.6548988024
154	0.6546868755
155	0.6545020132
156	0.6543106454
157	0.6540845111
158	0.6538504388
159	0.6536068971
160	0.6533882547
161	0.6532047899
162	0.6529978818
163	0.6527554206
164	0.6525488148
165	0.6523551672
166	0.6521301096
167	0.6519126468
168	0.6516913603
169	0.6515021464
170	0.6512716982
171	0.6510520089
172	0.650832041
173	0.6506164689
174	0.6504173006
175	0.6501993426
176	0.649994346
177	0.6497551984
178	0.6495192037
179	0.6493281331
180	0.6491107246
181	0.6488716691
182	0.6486465201
183	0.6484088676
184	0.6481833261
185	0.6480761984
186	0.6478858536
187	0.6476608306
188	0.6474348228
189	0.6472216917
190	0.6470305221
191	0.6467948422
192	0.6465960938
193	0.6464417631
194	0.6462539434
195	0.646056637
196	0.6458226573
197	0.6456179084
198	0.6454064795
199	0.6452027614
200	0.6450027416
201	0.6447818133
202	0.6445697869
203	0.6444772829
204	0.6443887943
205	0.6441607098
206	0.6439653972
207	0.6437746902
208	0.6435935395
209	0.6433729856
210	0.6431537112
211	0.6429486827
212	0.6427914332
213	0.6425853636
214	0.6423876985
215	0.6421698498
216	0.6419681462
217	0.641777911
218	0.641550557
219	0.6413793571
220	0.6412089518
221	0.6410204662
222	0.6408190314
223	0.6406211001
224	0.6404177116
225	0.6402863261
226	0.6400632303
227	0.6398425755
228	0.6396732639
229	0.6394603864
230	0.6392571412
231	0.639036258
232	0.6388131776
233	0.6386317187
234	0.6384642293
235	0.6382735299
236	0.6380893264
237	0.6379238599
238	0.6377541531
239	0.6375540101
240	0.6373620719
241	0.6371767802
242	0.6369859989
243	0.6367904071
244	0.6366190345
245	0.6364269412
246	0.6362318016
247	0.6360349556
248	0.6358539253
249	0.6356466283
250	0.635486173
251	0.635271232
252	0.6350541924
253	0.6348730208
254	0.6346589292
255	0.634462518
256	0.6342601232
257	0.6340486805
258	0.6338648672
259	0.6336864209
260	0.6334924683
261	0.6332916147
262	0.6331019889
263	0.6329333695
264	0.6327730444
265	0.6326115673
266	0.6324026172
267	0.6322052445
268	0.6319967492
269	0.631813967
270	0.6316258342
271	0.6314142036
272	0.6313000694
273	0.6311183526
274	0.6309412828
275	0.6307443621
276	0.6305877036
277	0.6304105208
278	0.6302261427
279	0.6300827723
280	0.6299140629
281	0.6297557197
282	0.6295503048
283	0.6293726233
284	0.6291675472
285	0.6289627171
286	0.628778148
287	0.6286114323
288	0.6284289198
289	0.6282979491
290	0.6281256788
291	0.6279641158
292	0.6277812101
293	0.6275757434
294	0.627397504
295	0.6272059516
296	0.6270294025
297	0.6268479318
298	0.6266548499
299	0.6264724435
300	0.6263085398
301	0.6261237576
302	0.6259402543
303	0.6257715764
304	0.6255689566
305	0.6253790732
306	0.6251908218
307	0.6250170625
308	0.6248259066
309	0.6246372143
310	0.6244705182
311	0.6243210527
312	0.6241469284
313	0.6239977458
314	0.6238306265
315	0.6236642297
316	0.6234647487
317	0.6232697876
318	0.6231106418
319	0.6229160102
320	0.6227584559
321	0.6225605163
322	0.6223810952
323	0.622245712
324	0.6220633929
325	0.6218666544
326	0.6217049617
327	0.6215214235
328	0.6213393934
329	0.6211782455
330	0.6210178642
331	0.6208238042
332	0.6206561818
333	0.6204954847
334	0.6203496772
335	0.6201800693
336	0.6199899792
337	0.6198453734
338	0.6196800984
339	0.6195099374
340	0.6193280002
341	0.6191801176
342	0.6190573851
343	0.6188927318
344	0.6187407811
345	0.6185564476
346	0.6183759316
347	0.6182044592
348	0.6180388279
349	0.6178724906
350	0.617718775
351	0.6175361462
352	0.6173834051
353	0.6171944054
354	0.6170091006
355	0.6168317371
356	0.6166434852
357	0.6165004829
358	0.6163156174
359	0.6161571342
360	0.6160089049
361	0.6158426686
362	0.6156657333
363	0.6154893901
364	0.6153150202
365	0.6151714288
366	0.6150185482
367	0.6148559242
368	0.6146844973
369	0.6145564918
370	0.6143927048
371	0.6142497916
372	0.6140749553
373	0.613902703
374	0.6137262151
375	0.6135651322
376	0.6134147263
377	0.613260508
378	0.6130998334
379	0.6129481859
380	0.6127779286
381	0.6126237188
382	0.6124488699
383	0.6123086415
384	0.6121642648
385	0.6120140683
386	0.6118591824
387	0.6116805291
388	0.611544336
389	0.6113674585
390	0.611230007
391	0.6111107461
392	0.6109576472
393	0.610810621
394	0.6106521953
395	0.6104846527
396	0.6103471156
397	0.610203743
398	0.6100253073
399	0.6098737315
400	0.6097393018
401	0.6095847926
402	0.6094351828
403	0.6092964775
404	0.6091463406
405	0.6090024659
406	0.6088465459
407	0.6086985368
408	0.6085648791
409	0.6084226313
410	0.6082714863
411	0.608121163
412	0.6079552033
413	0.6078070516
414	0.6076367928
415	0.607515699
416	0.6073579829
417	0.6071934358
418	0.6070444643
419	0.6068927763
420	0.6067312283
421	0.6066042899
422	0.6064456965
423	0.6063035704
424	0.6061604257
425	0.6060192322
426	0.6058726263
427	0.6057525174
428	0.6055900861
429	0.605494172
430	0.6053538327
431	0.6052204126
432	0.6051321323
433	0.6049823699
434	0.6048516137
435	0.6047211404
436	0.604574021
437	0.6044289575
438	0.6042843139
439	0.6041265275
440	0.6039808125
441	0.6038628758
442	0.6036937848
443	0.6035470925
444	0.6033784652
445	0.603225602
446	0.6030848472
447	0.6029381114
448	0.6027982749
449	0.6026396743
450	0.6024920013
451	0.6023273275
452	0.6022555652
453	0.6021289827
454	0.6019925879
455	0.6018384048
456	0.6016885
457	0.6015435125
458	0.6014102518
459	0.6012572863
460	0.6011148737
461	0.6009880072
462	0.6008449353
463	0.6007040293
464	0.6005541083
465	0.6004124435
466	0.6002597023
467	0.6001087316
468	0.5999700137
469	0.5998192795
470	0.599683841
471	0.599525627
472	0.5994455525
473	0.5993182439
474	0.5991707165
475	0.5990674557
476	0.5989792143
477	0.5988395987
478	0.5987269163
479	0.5985701765
480	0.5984324333
481	0.598308769
482	0.5981817114
483	0.5980234436
484	0.5978915741
485	0.5977519699
486	0.5976411177
487	0.5975012331
488	0.5973635562
489	0.597238155
490	0.5971127436
491	0.5969740561
492	0.5968635477
493	0.5967278196
494	0.5965842271
495	0.596430807
496	0.5962960557
497	0.5961451247
498	0.5960022799
499	0.5958572028
