iter	Passed	Remaining
0	2	1369
1	5	1384
2	10	1771
3	13	1655
4	16	1592
5	25	2063
6	27	1953
7	30	1863
8	38	2108
9	41	2032
10	45	2038
11	51	2090
12	54	2059
13	57	1998
14	60	1953
15	64	1958
16	68	1943
17	71	1922
18	76	1927
19	79	1904
20	82	1876
21	86	1876
22	89	1854
23	92	1831
24	94	1803
25	100	1829
26	103	1816
27	106	1797
28	116	1899
29	120	1887
30	123	1866
31	128	1882
32	131	1859
33	134	1849
34	139	1854
35	142	1835
36	145	1819
37	151	1847
38	156	1853
39	160	1843
40	162	1824
41	167	1825
42	172	1836
43	175	1822
44	180	1823
45	183	1807
46	186	1792
47	199	1879
48	202	1863
49	207	1863
50	209	1847
51	225	1946
52	228	1926
53	232	1916
54	236	1915
55	251	1990
56	256	1990
57	271	2071
58	279	2092
59	282	2075
60	286	2064
61	289	2048
62	292	2028
63	296	2022
64	301	2018
65	304	2001
66	306	1983
67	309	1967
68	312	1952
69	318	1958
70	329	1989
71	331	1972
72	335	1961
73	340	1961
74	343	1946
75	345	1929
76	348	1914
77	350	1898
78	363	1934
79	366	1922
80	372	1927
81	376	1919
82	379	1906
83	386	1916
84	389	1903
85	393	1896
86	396	1883
87	400	1877
88	406	1878
89	409	1865
90	411	1850
91	417	1850
92	420	1841
93	423	1829
94	426	1818
95	431	1814
96	434	1803
97	437	1794
98	440	1786
99	443	1774
100	446	1764
101	450	1756
102	452	1745
103	456	1736
104	459	1728
105	462	1719
106	470	1728
107	473	1718
108	477	1711
109	479	1700
110	482	1689
111	484	1679
112	489	1677
113	492	1667
114	496	1660
115	498	1650
116	501	1640
117	503	1630
118	507	1623
119	510	1616
120	512	1606
121	516	1599
122	523	1604
123	526	1596
124	536	1610
125	539	1601
126	548	1609
127	550	1600
128	555	1597
129	558	1590
130	561	1581
131	565	1575
132	568	1569
133	571	1560
134	574	1553
135	579	1550
136	583	1545
137	586	1538
138	591	1537
139	594	1529
140	598	1525
141	601	1517
142	604	1510
143	610	1508
144	613	1501
145	616	1494
146	620	1490
147	623	1482
148	626	1476
149	630	1470
150	667	1541
151	670	1534
152	674	1528
153	678	1525
154	682	1519
155	685	1511
156	688	1503
157	693	1500
158	696	1493
159	699	1485
160	701	1477
161	706	1473
162	708	1465
163	712	1459
164	715	1451
165	717	1444
166	722	1440
167	725	1433
168	728	1425
169	733	1423
170	737	1419
171	740	1413
172	744	1406
173	748	1401
174	751	1396
175	754	1389
176	757	1382
177	760	1375
178	763	1369
179	768	1365
180	771	1359
181	773	1351
182	777	1346
183	780	1340
184	782	1333
185	786	1327
186	789	1321
187	792	1315
188	794	1308
189	807	1316
190	811	1312
191	813	1305
192	816	1298
193	819	1292
194	826	1292
195	828	1285
196	832	1280
197	837	1277
198	841	1272
199	844	1266
200	847	1260
201	853	1258
202	855	1251
203	858	1246
204	863	1242
205	865	1235
206	868	1229
207	871	1223
208	874	1218
209	877	1211
210	880	1206
211	885	1202
212	887	1196
213	890	1190
214	893	1184
215	896	1178
216	899	1173
217	903	1168
218	906	1162
219	908	1156
220	916	1157
221	919	1151
222	922	1146
223	926	1141
224	929	1135
225	931	1129
226	937	1128
227	941	1123
228	949	1123
229	963	1130
230	977	1138
231	986	1139
232	989	1133
233	992	1127
234	1000	1127
235	1003	1122
236	1005	1115
237	1018	1121
238	1021	1115
239	1024	1109
240	1026	1103
241	1033	1101
242	1036	1096
243	1039	1090
244	1044	1086
245	1047	1081
246	1050	1075
247	1053	1070
248	1056	1064
249	1059	1059
250	1061	1053
251	1064	1048
252	1067	1042
253	1071	1037
254	1074	1032
255	1077	1027
256	1080	1021
257	1083	1016
258	1085	1010
259	1088	1004
260	1094	1002
261	1097	997
262	1105	996
263	1107	990
264	1110	984
265	1122	987
266	1124	981
267	1135	983
268	1147	985
269	1150	979
270	1161	981
271	1163	975
272	1168	971
273	1172	966
274	1176	962
275	1205	978
276	1207	972
277	1210	966
278	1216	963
279	1259	989
280	1262	983
281	1265	978
282	1268	972
283	1275	970
284	1278	964
285	1282	959
286	1288	955
287	1290	950
288	1293	944
289	1298	940
290	1301	934
291	1304	929
292	1306	923
293	1309	917
294	1313	912
295	1316	907
296	1320	902
297	1322	896
298	1328	892
299	1330	887
300	1344	888
301	1347	883
302	1350	878
303	1363	878
304	1366	873
305	1370	868
306	1378	866
307	1383	862
308	1398	864
309	1406	861
310	1456	884
311	1458	879
312	1461	873
313	1475	874
314	1478	868
315	1481	862
316	1485	857
317	1547	885
318	1555	882
319	1558	876
320	1570	875
321	1584	875
322	1590	871
323	1593	865
324	1600	861
325	1602	855
326	1606	849
327	1609	844
328	1612	838
329	1615	832
330	1626	830
331	1629	824
332	1632	818
333	1636	813
334	1640	807
335	1644	802
336	1646	796
337	1656	793
338	1660	788
339	1668	784
340	1673	780
341	1690	780
342	1712	783
343	1719	779
344	1724	774
345	1773	789
346	1813	799
347	1820	795
348	1823	789
349	1826	782
350	1841	781
351	1846	776
352	1851	771
353	1861	767
354	1865	761
355	1869	756
356	1878	752
357	1881	746
358	1884	740
359	1888	734
360	1891	728
361	1894	722
362	1897	716
363	1901	710
364	1905	704
365	1916	701
366	1918	695
367	1923	689
368	1926	684
369	1930	678
370	1933	672
371	1938	667
372	1944	662
373	1949	656
374	1953	651
375	1962	647
376	1966	641
377	1973	636
378	1996	637
379	2017	636
380	2020	631
381	2023	625
382	2027	619
383	2030	613
384	2032	607
385	2035	601
386	2038	595
387	2046	590
388	2050	584
389	2053	579
390	2058	573
391	2061	567
392	2064	562
393	2069	556
394	2072	550
395	2075	545
396	2081	540
397	2084	534
398	2086	528
399	2094	523
400	2097	517
401	2101	512
402	2104	506
403	2108	500
404	2118	496
405	2120	491
406	2123	485
407	2132	480
408	2135	475
409	2138	469
410	2141	463
411	2145	458
412	2151	453
413	2154	447
414	2156	441
415	2163	436
416	2166	431
417	2169	425
418	2175	420
419	2178	414
420	2182	409
421	2184	403
422	2189	398
423	2192	393
424	2196	387
425	2200	382
426	2203	376
427	2205	371
428	2215	366
429	2217	360
430	2220	355
431	2224	350
432	2227	344
433	2229	339
434	2234	333
435	2237	328
436	2248	324
437	2251	318
438	2265	314
439	2277	310
440	2292	306
441	2295	301
442	2298	295
443	2301	290
444	2313	285
445	2315	280
446	2318	274
447	2328	270
448	2330	264
449	2333	259
450	2336	253
451	2339	248
452	2347	243
453	2351	238
454	2354	232
455	2384	230
456	2391	224
457	2411	221
458	2423	216
459	2434	211
460	2444	206
461	2473	203
462	2476	197
463	2482	192
464	2489	187
465	2492	181
466	2495	176
467	2503	171
468	2506	165
469	2508	160
470	2512	154
471	2514	149
472	2517	143
473	2520	138
474	2523	132
475	2529	127
476	2532	122
477	2536	116
478	2550	111
479	2562	106
480	2565	101
481	2577	96
482	2588	91
483	2591	85
484	2596	80
485	2602	74
486	2605	69
487	2607	64
488	2610	58
489	2614	53
490	2619	48
491	2622	42
492	2625	37
493	2628	31
494	2630	26
495	2633	21
496	2641	15
497	2644	10
498	2646	5
499	2651	0
